id;title;description;width;height;image;feed_id;medium;datetime
94;Life is shit.;Dungbeetle existential crisis.;144;210;Scan_14.jpeg;9;Felt tip on paper;2019-05-10 18:49:00.084569+00
105;Shit-Based-Fate-Decider;Potentially a load of shit this device design;210;297;yyyy.jpg;9;Charcoal on paper;2019-05-11 12:19:33.585579+00
108;Natural Domestication.;Intestines,;100;200;jkeejtfygjk.jpg;15;Etching on Cartridge Paper;2019-05-12 18:19:20.190371+00
107;Garden of Eden 2017;Henry is the snake. THE anthropomorphised machine;2000;1200;hg.jpg;9;Oil on Wood;2019-05-12 17:51:41.419843+00
58;Spacetravellers;Unknown whether they're space tourists or astronauts;144;210;Scan_21.jpeg;9;Felt tip on paper;2019-05-10 18:17:18.519487+00
59;Control;Some alien corporation, 8 legged horse bridge, infinite cig for the stress.;144;210;Scan_7.jpeg;9;Felt tip on paper;2019-05-10 18:28:03.548436+00
60;Constant Shit;Drawn when feeling very existential;144;210;Scan_16.jpeg;9;Felt tip on paper;2019-05-10 18:30:18.000945+00
95;ON ON ON;Fast paced 2019 existence vomit on paper;144;210;Scan_11.jpeg;9;Gold pen on paper;2019-05-10 18:52:22.044242+00
96;The Height of Domestication;The strangeness of being a domesticated animal in 2019.;144;210;Scan_3.jpeg;9;Fineliner on paper;2019-05-10 18:54:55.49693+00
98;Dungbeetle Hell;All they want is to make love in the shit. Torture;300;200;nnnnnnn.JPG;11;Airdry clay, wire and wood;2019-05-11 11:32:16.7845+00
100;Decision Making Device;Spinning blueprints.;297;210;jjj.jpg;9;Charcoal on paper;2019-05-11 12:00:19.129214+00
101;Infinity;Spend alot of my existence on a porcelain throne;297;210;mmmm.jpg;9;Charcoal on paper;2019-05-11 12:04:36.602882+00
102;Thinking about faeces;A VERY horny DB;297;210;nnn.jpg;9;Charcoal on paper;2019-05-11 12:09:22.424084+00
103;Design for Dungbeetle Hell;Horny Torture;210;297;NNNNNNNNN.jpg;9;Charcoal on paper;2019-05-11 12:13:38.996239+00
104;Luck-Deciding-Fidget-Spinner;Who knows which way up the horse shoe will land?;210;297;piehsdf.jpg;9;Charcoal on paper;2019-05-11 12:16:58.525746+00
106;BAM;I wanted to create a god, a messiah, an icon.;134;182;aaa.jpg;11;Oil on wood with gold leaf;2019-05-12 17:39:43.369842+00
109;Contemplate while you can.;Enjoy your time on the loo before youre a cyborg! Potential Propaganda.;210;297;mmmm_f1HE3iw.jpg;15;Lino Print on Cartridge;2019-05-12 18:21:22.742959+00
110;THE MOST LUCKY OBJECT EVER (FOR ME PERSONALLY) (MR W C BAM);PURE PURE LUCK. ALWAYS keep correct way up.;700;350;nn.jpg;11;Toilet seat, Horseshoes and Polyfiller;2019-05-12 18:34:57.385203+00
99;War of the Worlds;"U-bends vs Tin openers
Biology vs Machina";500;650;aaaaaaaa.jpg;9;Oil on wood;2019-05-11 11:54:26.230869+00
117;A Utopia Where Horses and Robots United Against Humanity;An etching of friendship and mutual respect.;297;210;KTF.jpg;15;Etching on Cartridge Paper;2019-05-12 19:22:07.81081+00
130;Afterwork Drinks;Living for the weekend? Not necessarily a bad thing?;0;0;IMG_20190511_225959814_KNYXoeV.jpg;9;Digital Photograph;2019-05-12 21:56:48.921959+00
129;Angel;j;0;0;ggg_cwJL0PT.JPG;9;Digital Photograph;2019-05-12 21:55:44.593047+00
128;Tanith and Radiator Key and Child(2018);Plaster radiator key for bleeding BIG radiators;1;1;48356011_477448779327788_1039896944836608000_n_onMqlR9.jpg;9;Digital Photograph;2019-05-12 21:54:47.122336+00
127;Ruby Plank in dystopia;Ruby Plank infront of my painting 'War of the Worlds';1;1;Capture_QWlxztf.JPG;9;Digital Photograph;2019-05-12 21:53:16.88563+00
112;Horses Arse.;A dungbeetles dream? A mutant Horse?;150;250;50928436_584596215346158_8793242074456522752_n.jpg;13;Glazed Earthernware and Hair;2019-05-12 18:45:26.110825+00
115;Lucky Loo Roll Holder Companian;2 horseshoes double the luck HIGHLY ergonomic loo roll holder.;800;600;49840210_348498872414496_8600969711603154944_n_236SaZd.jpg;11;Horseshoes and Metal Rods;2019-05-12 19:00:01.491881+00
113;Horse Idol of Bodily Functions and the Abject.;Finds Solace in bodily functions, he is a technophobe.;250;200;kdsghjkl.jpg;13;Glazed Earthernware;2019-05-12 18:48:01.930116+00
116;More Ergonomic Lucky Loo Roll Holder;Can be nailed into your bathroom wall. ALWAYS HANG CORRECT WAY UP. HIGHLY LUCKY.;220;220;awaw.jpg;9;Horseshoes;2019-05-12 19:11:50.746381+00
118;Sentient Robo Toilet;ACTUALLY moves! Will follow you everywhere if treated with respect.;350;500;49660159_2140149789648443_3320225133892730880_n.jpg;9;Sentient Cars and Sentient Loo Seat.;2019-05-12 19:36:43.03986+00
111;The BAM Factory(8 ball manufacture ltd.);An 8 ball factory, ran by enslaved, highly horny dung beetles.;6000;6000;received_668405670262942.jpeg;11;Wood, Polyfiller, Airdry Clay, Ringpulls, Chocolate Fountain, Other Shit.;2019-05-12 18:39:18.82642+00
114;Contemplation Reminder Companian;Should remind you to enjoy your human contemplation as the cyber world descends.;350;400;49787349_505458613280251_8330755834199932928_n.jpg;13;Tinfoil and Airdry Clay;2019-05-12 18:55:52.045533+00
